"ID","nsource","prim","prop"
1614,20,3.36210253082414,61.64
1632,5,4.24104604889142,70.36
2416,0,5.24204946996466,22.64
2565,22,3.08574879227053,33.12
2698,170,3.0049504950495,8.08
3243,0,2.13132295719844,82.24
3632,0,1.83616692426584,51.76
3888,6,4.33251833740831,32.72
3897,0,2.04560810810811,23.68
4563,147,3.04595744680851,47
4698,23,4.55004955401388,80.72
4704,24,4.79830985915493,71
4822,76,4.06924643584521,19.64
5088,0,4.20626822157434,54.88
5231,0,4.37217391304348,23
5240,5,4.40393754243041,58.92
5256,0,5.27709978463747,55.72
5264,5,5.42402826855124,56.6
5265,14,4.56330014224751,28.12
5366,0,4.29329474191992,82.92
5368,157,3.65457050987598,87.08
5397,5,3.57325746799431,56.24
5498,174,4.80594405594406,68.64
5500,101,4.56774809160305,83.84
5520,24,4.89857142857143,56
5884,24,5.18720379146919,16.88
5928,0,5.16191396810053,82.76
6037,6,4.67592592592593,25.92
6041,6,4.64586583463339,76.92
6170,158,4.51453488372093,55.04
6185,25,4.30163043478261,58.88
6187,24,3.835960303561,68.52
6197,4,3.66290672451193,92.2
6309,183,5.05521472392638,58.68
6443,117,4.65512048192771,26.56
6575,7,3.19852941176471,10.88
