"prop","prim","nsource","ID"
66,3.87,36,1614
100,4.59,11,1632
46,5.9,0,2416
46,3.87,36,2565
46,3.87,286,2698
100,3.87,0,3243
66,3.87,0,3632
46,4.59,11,3888
46,3.87,0,3897
66,3.87,286,4563
100,4.59,36,4698
100,5.9,36,4704
46,4.59,286,4822
66,4.59,0,5088
46,4.59,0,5231
66,4.59,11,5240
66,5.9,0,5256
66,5.9,11,5264
46,4.59,36,5265
100,4.59,0,5366
100,3.87,286,5368
66,3.87,11,5397
100,5.9,286,5498
100,4.59,286,5500
66,5.9,36,5520
46,5.9,36,5884
100,5.9,0,5928
46,5.9,11,6037
100,5.9,11,6041
66,4.59,286,6170
66,4.59,36,6185
100,3.87,36,6187
100,3.87,11,6197
66,5.9,286,6309
46,5.9,286,6443
46,3.87,11,6575
